run_date,target_date,symbol,company_name,weight,latest_date,previous_date,latest_close,previous_close,daily_return,direction,is_complete,is_fresh,is_qualified,is_target_date,included_in_recent_breadth,included_in_strict_breadth,source
2026-06-13,2026-06-12,CSX,CSX Corp,0.003989980000000001,2026-06-12,2026-06-11,47.57,47.365,0.004328090362081705,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,SNPS,Synopsys Inc,0.00394782,2026-06-12,2026-06-11,453.89,456.29,-0.00525981283832655,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CMCSA,Comcast Corp,0.0038848700000000003,2026-06-12,2026-06-11,24.5,23.97,0.02211097204839385,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MELI,MercadoLibre Inc,0.00368652,2026-06-12,2026-06-11,1589.6,1610.0,-0.0126708074534162,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MDLZ,Mondelez International Inc,0.0036682399999999997,2026-06-12,2026-06-11,62.99,63.36,-0.005839646464646409,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MPWR,Monolithic Power Systems Inc,0.0035263499999999997,2026-06-12,2026-06-11,1577.32,1589.55,-0.007694001446950427,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ROST,Ross Stores Inc,0.0034995399999999998,2026-06-12,2026-06-11,240.13,239.11,0.004265819079084965,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,DDOG,Datadog Inc,0.00347522,2026-06-12,2026-06-11,229.9,234.24,-0.018528005464480857,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,INTU,Intuit Inc,0.0034592800000000003,2026-06-12,2026-06-11,276.73,276.91,-0.0006500306958939772,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,NXPI,NXP Semiconductors NV,0.003453,2026-06-12,2026-06-11,304.86,302.55,0.007635101636093156,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ORLY,O'Reilly Automotive Inc,0.00341215,2026-06-12,2026-06-11,91.02,90.1,0.010210876803551594,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CTAS,Cintas Corp,0.00329313,2026-06-12,2026-06-11,176.28,181.88,-0.030789531559269778,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AEP,American Electric Power Co Inc,0.00313855,2026-06-12,2026-06-11,129.23,128.48,0.00583748443337484,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,WBD,Warner Bros Discovery Inc,0.00300852,2026-06-12,2026-06-11,26.98,26.86,0.004467609828741725,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,REGN,Regeneron Pharmaceuticals Inc,0.0028695599999999997,2026-06-12,2026-06-11,612.14,611.48,0.0010793484660167607,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,LITE,Lumentum Holdings Inc,0.00286878,2026-06-12,2026-06-11,921.56,889.59,0.03593790397823704,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,DASH,DoorDash Inc,0.0028624500000000003,2026-06-12,2026-06-11,150.58,154.59,-0.025939582120447557,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,BKR,Baker Hughes Co,0.00283338,2026-06-12,2026-06-11,63.14,63.48,-0.00535601764335214,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,PCAR,PACCAR Inc,0.0027928,2026-06-12,2026-06-11,118.52,117.58,0.00799455689743156,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ABNB,Airbnb Inc,0.0025036599999999996,2026-06-12,2026-06-11,132.28,130.87,0.0107740505845495,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,FANG,Diamondback Energy Inc,0.00244091,2026-06-12,2026-06-11,192.13,191.59,0.002818518711832585,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,FAST,Fastenal Co,0.00240601,2026-06-12,2026-06-11,46.57,46.39,0.003880146583315369,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ODFL,Old Dominion Freight Line Inc,0.00234069,2026-06-12,2026-06-11,245.75,247.76,-0.008112689699709352,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,EA,Electronic Arts Inc,0.0022972,2026-06-12,2026-06-11,203.27,203.05,0.0010834769761143281,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MCHP,Microchip Technology Inc,0.00227152,2026-06-12,2026-06-11,95.24,92.94,0.02474714869808481,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,FER,Ferrovial NV,0.00221493,2026-06-12,2026-06-11,67.94,67.35,0.008760207869339398,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,XEL,Xcel Energy Inc,0.00221081,2026-06-12,2026-06-11,79.22,78.27,0.012137472850389797,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,EXC,Exelon Corp,0.0021272,2026-06-12,2026-06-11,46.21,45.51,0.015381234893430129,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CCEP,Coca-Cola Europacific Partners PLC,0.00202657,2026-06-12,2026-06-11,99.34,97.69,0.016890162759750194,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,IDXX,IDEXX Laboratories Inc,0.0020112199999999998,2026-06-12,2026-06-11,560.88,557.91,0.005323439264397489,up,True,True,True,True,True,True,tiingo
