date,symbol,company_name,weight,sector,security_type_code,security_type_name,source
2026-06-19,EXC,Exelon Corp,0.00205441,,COM,Common Stock,invesco
2026-06-19,ODFL,Old Dominion Freight Line Inc,0.00201982,,COM,Common Stock,invesco
2026-06-19,IDXX,IDEXX Laboratories Inc,0.00196217,,COM,Common Stock,invesco
2026-06-19,CCEP,Coca-Cola Europacific Partners PLC,0.00194721,,COM,Common Stock,invesco
2026-06-19,TTWO,Take-Two Interactive Software Inc,0.00194266,,COM,Common Stock,invesco
2026-06-19,KDP,Keurig Dr Pepper Inc,0.0018323,,COM,Common Stock,invesco
2026-06-19,ADSK,Autodesk Inc,0.00179714,,COM,Common Stock,invesco
2026-06-19,PYPL,PayPal Holdings Inc,0.00172154,,COM,Common Stock,invesco
2026-06-19,ALNY,Alnylam Pharmaceuticals Inc,0.00161695,,COM,Common Stock,invesco
2026-06-19,PAYX,Paychex Inc,0.00154613,,COM,Common Stock,invesco
2026-06-19,MSTR,Strategy Inc,0.0015459800000000002,,COM,Common Stock,invesco
2026-06-19,TRI,Thomson Reuters Corp,0.0015088999999999999,,COM,Common Stock,invesco
2026-06-19,AXON,Axon Enterprise Inc,0.00149256,,COM,Common Stock,invesco
2026-06-19,ROP,Roper Technologies Inc,0.00149031,,COM,Common Stock,invesco
2026-06-19,CPRT,Copart Inc,0.00128297,,COM,Common Stock,invesco
2026-06-19,GEHC,GE HealthCare Technologies Inc,0.00123066,,COM,Common Stock,invesco
2026-06-19,DXCM,Dexcom Inc,0.00122283,,COM,Common Stock,invesco
2026-06-19,KHC,Kraft Heinz Co/The,0.0012051499999999999,,COM,Common Stock,invesco
2026-06-19,WDAY,Workday Inc,0.0010919600000000001,,COM,Common Stock,invesco
2026-06-19,VRSK,Verisk Analytics Inc,0.0010541399999999999,,COM,Common Stock,invesco
2026-06-19,CTSH,Cognizant Technology Solutions Corp,0.00091628,,COM,Common Stock,invesco
2026-06-19,INSM,Insmed Inc,0.0009053500000000001,,COM,Common Stock,invesco
2026-06-19,ZS,Zscaler Inc,0.0008801299999999999,,COM,Common Stock,invesco
2026-06-19,CHTR,Charter Communications Inc,0.0007008399999999999,,COM,Common Stock,invesco
